date,cases,tests,deaths,deaths_calcat
2020-01-01,0,4,0,0
2020-01-02,2,3,0,0
2020-01-04,0,2,0,0
2020-01-05,0,1,0,0
2020-01-06,0,1,0,0
2020-01-07,14,270,0,0
2020-01-08,0,1,0,0
2020-01-09,0,1,0,0
2020-01-13,0,1,0,0
2020-01-24,0,1,0,0
2020-01-26,0,2,0,0
2020-01-29,0,1,0,0
2020-01-31,0,1,0,0
2020-02-05,1,1,0,0
2020-02-06,1,1,0,0
2020-02-07,61,434,0,0
2020-02-08,0,1,0,0
2020-02-09,1,2,0,0
2020-02-13,0,1,0,0
2020-02-15,0,2,0,0
2020-02-20,1,1,0,0
2020-02-21,0,1,0,0
2020-02-22,0,1,0,0
2020-02-23,0,1,0,0
2020-02-25,0,1,0,0
2020-02-27,0,5,0,0
2020-02-28,0,6,0,0
2020-02-29,2,9,0,0
2020-03-01,0,2,0,0
2020-03-02,2,8,0,0
2020-03-03,0,4,0,0
2020-03-04,1,28,0,0
2020-03-05,0,20,0,0
2020-03-06,0,19,0,0
2020-03-07,18,249,0,0
2020-03-08,0,11,0,0
2020-03-09,4,42,0,0
2020-03-10,7,57,0,0
2020-03-11,4,69,0,0
2020-03-12,8,170,0,0
2020-03-13,23,252,0,0
2020-03-14,11,188,0,0
2020-03-15,11,192,0,0
2020-03-16,33,539,0,0
2020-03-17,39,616,0,0
2020-03-18,26,546,0,0
2020-03-19,45,528,1,0
2020-03-20,48,720,0,0
2020-03-21,16,238,0,0
2020-03-22,22,205,1,0
2020-03-23,55,658,0,0
2020-03-24,58,601,0,1
2020-03-25,52,483,0,0
2020-03-26,48,480,1,0
2020-03-27,55,571,1,2
2020-03-28,50,345,3,1
2020-03-29,32,225,0,0
2020-03-30,50,706,1,0
2020-03-31,71,664,4,3
2020-04-01,71,830,1,3
2020-04-02,49,644,1,2
2020-04-03,57,697,2,0
2020-04-04,29,333,0,1
2020-04-05,27,246,1,0
2020-04-06,45,655,0,0
2020-04-07,57,675,1,1
2020-04-08,67,650,2,2
2020-04-09,63,586,0,0
2020-04-10,50,714,3,0
2020-04-11,22,328,0,1
2020-04-12,12,213,0,1
2020-04-13,49,697,3,0
2020-04-14,45,643,2,0
2020-04-15,102,925,3,3
2020-04-16,61,733,3,3
2020-04-17,68,837,1,3
2020-04-18,35,529,1,4
2020-04-19,20,326,1,0
2020-04-20,57,970,0,1
2020-04-21,59,952,4,0
2020-04-22,125,1148,2,1
2020-04-23,75,1278,4,2
2020-04-24,96,1415,1,0
2020-04-25,59,715,0,2
2020-04-26,45,535,3,1
2020-04-27,141,1545,1,0
2020-04-28,160,1788,4,3
2020-04-29,112,1765,4,2
2020-04-30,122,1561,2,1
2020-05-01,112,2510,6,5
2020-05-02,53,1077,5,2
2020-05-03,60,765,3,0
